[Name],,
Series 1 at Polyline 1,,
,,
[Data],,
X [ m ],,Pressure [ Pa ]
9.59E-01,,-5.40E+03
9.78E-01,,-5.50E+03
9.97E-01,,-5.58E+03
1.02E+00,,-5.66E+03
1.03E+00,,-5.72E+03
1.05E+00,,-5.78E+03
1.07E+00,,-5.83E+03
1.09E+00,,-5.88E+03
1.11E+00,,-5.92E+03
1.13E+00,,-5.96E+03
1.15E+00,,-5.98E+03
1.16E+00,,-5.95E+03
1.18E+00,,-5.87E+03
1.20E+00,,-5.72E+03
1.22E+00,,-5.51E+03
1.23E+00,,-5.25E+03
1.25E+00,,-4.99E+03
1.27E+00,,-4.73E+03
1.28E+00,,-4.48E+03
1.30E+00,,-4.24E+03
1.32E+00,,-3.99E+03
1.33E+00,,-3.75E+03
1.35E+00,,-3.51E+03
1.37E+00,,-3.27E+03
1.38E+00,,-3.02E+03
1.40E+00,,-2.78E+03
1.42E+00,,-2.54E+03
1.44E+00,,-2.28E+03
1.45E+00,,-2.01E+03
1.47E+00,,-1.77E+03
1.49E+00,,-1.50E+03
1.51E+00,,-1.30E+03
1.53E+00,,-1.07E+03
1.54E+00,,-1.14E+03
1.56E+00,,-1.81E+03
1.58E+00,,-1.51E+03
1.56E+00,,-6.68E+02
1.54E+00,,-3.73E+02
undef,, undef
1.52E+00,,-1.19E+02
1.50E+00,,6.37E+01
1.48E+00,,2.10E+02
1.47E+00,,3.21E+02
1.45E+00,,4.10E+02
1.43E+00,,4.79E+02
1.41E+00,,5.33E+02
1.39E+00,,5.74E+02
1.37E+00,,6.05E+02
1.35E+00,,6.28E+02
1.33E+00,,6.44E+02
1.31E+00,,6.52E+02
1.29E+00,,6.58E+02
1.27E+00,,6.64E+02
1.25E+00,,6.65E+02
1.23E+00,,6.47E+02
1.21E+00,,5.94E+02
1.19E+00,,5.03E+02
1.17E+00,,3.94E+02
1.15E+00,,2.86E+02
1.13E+00,,1.95E+02
1.11E+00,,1.49E+02
1.09E+00,,1.59E+02
1.07E+00,,2.00E+02
1.05E+00,,2.46E+02
1.03E+00,,2.84E+02
1.01E+00,,3.16E+02
9.87E-01,,3.48E+02
9.68E-01,,3.85E+02
9.48E-01,,4.22E+02
9.28E-01,,4.57E+02
9.08E-01,,4.91E+02
8.89E-01,,5.25E+02
8.69E-01,,5.60E+02
8.50E-01,,5.95E+02
8.30E-01,,6.31E+02
8.10E-01,,6.65E+02
7.91E-01,,6.99E+02
7.71E-01,,7.31E+02
7.52E-01,,7.63E+02
7.32E-01,,7.95E+02
7.13E-01,,8.26E+02
6.93E-01,,8.58E+02
6.74E-01,,8.92E+02
6.55E-01,,9.26E+02
6.35E-01,,9.61E+02
6.16E-01,,9.96E+02
5.96E-01,,1.03E+03
5.77E-01,,1.07E+03
5.58E-01,,1.11E+03
5.38E-01,,1.14E+03
5.19E-01,,1.18E+03
5.00E-01,,1.22E+03
4.81E-01,,1.26E+03
4.61E-01,,1.31E+03
4.42E-01,,1.35E+03
4.23E-01,,1.39E+03
4.04E-01,,1.43E+03
3.85E-01,,1.48E+03
3.66E-01,,1.53E+03
3.47E-01,,1.58E+03
3.28E-01,,1.63E+03
3.09E-01,,1.68E+03
2.90E-01,,1.74E+03
2.71E-01,,1.80E+03
2.52E-01,,1.86E+03
2.33E-01,,1.92E+03
2.14E-01,,1.99E+03
1.95E-01,,2.06E+03
1.77E-01,,2.14E+03
1.58E-01,,2.22E+03
1.40E-01,,2.30E+03
1.21E-01,,2.39E+03
1.03E-01,,2.47E+03
8.48E-02,,2.53E+03
6.70E-02,,2.51E+03
4.98E-02,,2.24E+03
3.39E-02,,1.18E+03
2.77E-02,,-2.83E+03
3.73E-02,,-5.43E+03
5.40E-02,,-4.30E+03
7.30E-02,,-3.74E+03
9.27E-02,,-3.69E+03
1.13E-01,,-3.68E+03
1.33E-01,,-3.70E+03
1.53E-01,,-3.69E+03
1.73E-01,,-3.66E+03
1.93E-01,,-3.64E+03
2.13E-01,,-3.63E+03
2.33E-01,,-3.62E+03
2.53E-01,,-3.62E+03
2.73E-01,,-3.62E+03
2.93E-01,,-3.62E+03
3.13E-01,,-3.62E+03
3.33E-01,,-3.62E+03
3.53E-01,,-3.63E+03
3.73E-01,,-3.63E+03
3.93E-01,,-3.64E+03
4.12E-01,,-3.65E+03
4.32E-01,,-3.66E+03
4.52E-01,,-3.67E+03
4.72E-01,,-3.68E+03
4.92E-01,,-3.70E+03
5.12E-01,,-3.71E+03
5.31E-01,,-3.73E+03
5.51E-01,,-3.76E+03
5.71E-01,,-3.78E+03
5.91E-01,,-3.82E+03
6.10E-01,,-3.85E+03
6.30E-01,,-3.89E+03
6.50E-01,,-3.94E+03
6.69E-01,,-3.99E+03
6.89E-01,,-4.05E+03
7.08E-01,,-4.12E+03
7.28E-01,,-4.19E+03
7.47E-01,,-4.27E+03
7.67E-01,,-4.36E+03
7.86E-01,,-4.45E+03
8.06E-01,,-4.55E+03
8.25E-01,,-4.65E+03
8.44E-01,,-4.76E+03
8.63E-01,,-4.87E+03
8.83E-01,,-4.98E+03
9.02E-01,,-5.09E+03
9.21E-01,,-5.20E+03
9.40E-01,,-5.30E+03
9.59E-01,,-5.40E+03
9.78E-01,,-5.50E+03
9.97E-01,,-5.58E+03
1.02E+00,,-5.66E+03
1.03E+00,,-5.72E+03
1.05E+00,,-5.78E+03
1.07E+00,,-5.83E+03
1.09E+00,,-5.88E+03
1.11E+00,,-5.92E+03
1.13E+00,,-5.96E+03
1.15E+00,,-5.98E+03
1.16E+00,,-5.95E+03
1.18E+00,,-5.87E+03
1.20E+00,,-5.72E+03
1.22E+00,,-5.51E+03
1.23E+00,,-5.25E+03
1.25E+00,,-4.99E+03
1.27E+00,,-4.73E+03
1.28E+00,,-4.48E+03
1.30E+00,,-4.24E+03
1.32E+00,,-3.99E+03
1.33E+00,,-3.75E+03
1.35E+00,,-3.51E+03
1.37E+00,,-3.27E+03
1.38E+00,,-3.02E+03
1.40E+00,,-2.78E+03
1.42E+00,,-2.54E+03
1.44E+00,,-2.28E+03
1.45E+00,,-2.01E+03
1.47E+00,,-1.77E+03
1.49E+00,,-1.50E+03
1.51E+00,,-1.30E+03
1.53E+00,,-1.07E+03
1.54E+00,,-1.14E+03
1.56E+00,,-1.81E+03
1.58E+00,,-1.51E+03
1.56E+00,,-6.68E+02
