[Name],,
Series 1 at Polyline 1,,
,,
[Data],,
X [ m ],Pressure [ Pa ],
8.04E-01,-5.54E+01,
7.84E-01,-4.20E+01,
7.64E-01,-2.90E+01,
7.43E-01,-1.64E+01,
7.23E-01,-4.06E+00,
7.03E-01,8.84E+00,
6.83E-01,2.29E+01,
6.63E-01,3.80E+01,
6.43E-01,5.37E+01,
6.23E-01,7.00E+01,
6.03E-01,8.73E+01,
5.83E-01,1.06E+02,
5.63E-01,1.25E+02,
5.43E-01,1.46E+02,
5.23E-01,1.67E+02,
5.03E-01,1.89E+02,
4.83E-01,2.11E+02,
4.63E-01,2.33E+02,
4.44E-01,2.56E+02,
4.24E-01,2.80E+02,
4.04E-01,3.05E+02,
3.84E-01,3.30E+02,
3.64E-01,3.58E+02,
3.44E-01,3.88E+02,
3.24E-01,4.20E+02,
3.04E-01,4.54E+02,
2.84E-01,4.89E+02,
2.65E-01,5.27E+02,
2.45E-01,5.69E+02,
2.25E-01,6.15E+02,
2.05E-01,6.66E+02,
1.85E-01,7.22E+02,
1.66E-01,7.88E+02,
1.46E-01,8.62E+02,
1.27E-01,9.46E+02,
1.07E-01,1.05E+03,
8.76E-02,1.18E+03,
6.82E-02,1.30E+03,
4.91E-02,1.47E+03,
3.03E-02,1.93E+03,
1.25E-02,2.24E+03,
3.10E-03,7.72E+02,
9.54E-03,-2.17E+03,
2.41E-02,-3.87E+03,
4.17E-02,-3.76E+03,
6.04E-02,-3.30E+03,
7.94E-02,-3.07E+03,
9.88E-02,-2.95E+03,
1.18E-01,-2.82E+03,
1.38E-01,-2.70E+03,
1.58E-01,-2.60E+03,
1.77E-01,-2.52E+03,
1.97E-01,-2.44E+03,
2.17E-01,-2.37E+03,
2.37E-01,-2.32E+03,
2.57E-01,-2.27E+03,
2.77E-01,-2.24E+03,
2.97E-01,-2.21E+03,
3.17E-01,-2.19E+03,
3.37E-01,-2.18E+03,
3.57E-01,-2.16E+03,
3.77E-01,-2.14E+03,
3.97E-01,-2.12E+03,
4.17E-01,-2.11E+03,
4.37E-01,-2.10E+03,
4.57E-01,-2.08E+03,
4.77E-01,-2.06E+03,
4.97E-01,-2.05E+03,
5.17E-01,-2.03E+03,
5.37E-01,-2.02E+03,
5.57E-01,-2.01E+03,
5.77E-01,-1.99E+03,
5.97E-01,-1.98E+03,
6.17E-01,-1.97E+03,
6.38E-01,-1.96E+03,
6.58E-01,-1.94E+03,
6.78E-01,-1.93E+03,
6.98E-01,-1.92E+03,
7.18E-01,-1.91E+03,
7.38E-01,-1.89E+03,
7.58E-01,-1.88E+03,
7.78E-01,-1.86E+03,
7.98E-01,-1.85E+03,
8.17E-01,-1.84E+03,
8.37E-01,-1.83E+03,
8.57E-01,-1.82E+03,
8.77E-01,-1.80E+03,
8.97E-01,-1.79E+03,
9.17E-01,-1.77E+03,
9.37E-01,-1.75E+03,
9.57E-01,-1.74E+03,
9.76E-01,-1.72E+03,
9.96E-01,-1.69E+03,
1.02E+00,-1.67E+03,
1.04E+00,-1.64E+03,
1.06E+00,-1.61E+03,
1.07E+00,-1.57E+03,
1.09E+00,-1.53E+03,
1.11E+00,-1.49E+03,
1.13E+00,-1.42E+03,
1.15E+00,-1.33E+03,
1.17E+00,-1.20E+03,
1.19E+00,-1.03E+03,
1.21E+00,-8.53E+02,
1.23E+00,-6.77E+02,
1.25E+00,-5.31E+02,
1.26E+00,-4.20E+02,
1.28E+00,-3.29E+02,
1.30E+00,-2.55E+02,
1.32E+00,-1.98E+02,
1.34E+00,-1.55E+02,
1.36E+00,-1.19E+02,
1.38E+00,-8.85E+01,
1.39E+00,-6.13E+01,
1.41E+00,-3.70E+01,
1.43E+00,-1.31E+01,
1.45E+00,9.09E+00,
1.47E+00,2.96E+01,
1.49E+00,4.96E+01,
1.51E+00,6.82E+01,
1.53E+00,8.56E+01,
1.55E+00,1.07E+02,
1.57E+00,1.30E+02,
1.59E+00,1.65E+02,
1.61E+00,2.12E+02,
1.59E+00,2.80E+02,
